"title","latitude","longitude"
"American Chestnut",38.81630625579396,-84.62297558792366
"Other",35.899436683427446,-83.96139138386022
"White Oak",35.97417518034202,-83.92448720530041
"Other",35.97428925804419,-83.92596971251436
"Other",35.97413704268259,-83.9252752718366
"White Oak",35.97417953893167,-83.92444076955684
"White Oak",35.974260550025825,-83.92491250306733
"Other",35.97438426691664,-83.92579042360552
"White Oak",37.724210447666906,-85.7087573503011
"White Oak",37.72605991460171,-85.70874880075986
"Other",37.72517973094967,-85.70837127984102
"White Oak",37.14613216932597,-84.15446047678977
"Other",36.97010901760028,-86.33824984551066
"Other",36.970169660669725,-86.34513306439513
"Ash",37.72595908030656,-85.70874343634183
"White Oak",37.72773193664637,-85.7071613521182
"White Oak",37.725945962628096,-85.70868141025836
"White Oak",37.72419259421315,-85.7087483816647
"White Oak",37.47549071445826,-83.0889368523686
"White Oak",37.467736573924746,-83.10067109771362
"White Oak",37.47228409167143,-83.09858995497515
"White Oak",37.475412469392154,-83.08890919208814
"Other",37.47643959864738,-83.09024134406998
"American Chestnut",43.24256046,-77.48469492
"Hemlock",43.24269594,-77.48401805
"American Chestnut",36.08825067,-81.84171769
"Other",20.88585679886945,-156.6626967398046
"White Oak",37.41364132150767,-86.30186199218622
"White Oak",37.4136128649464,-86.30207832910708
"White Oak",37.41373729429898,-86.30180633634916
"White Oak",37.523771943559424,-86.16805169739403
"White Oak",37.52953102350005,-86.16121332169152
"White Oak",37.72783214229879,-85.53273688078441
"White Oak",37.52933069601425,-86.16136344157732
"White Oak",37.728038756211966,-85.53306226626553
"White Oak",37.727933730965226,-85.53254887469627
"White Oak",31.49801060560299,-94.76235673771683
"White Oak",31.438277932423954,-94.73618351812186
"White Oak",33.0323748523677,-91.92199227408685
"White Oak",33.0322194518829,-91.92069618039943
"White Oak",33.03212683185286,-91.92173821860172
"White Oak",33.04443615957447,-91.92531930291273
"White Oak",33.03212683185286,-91.92173821860172
"Other",33.04417678158082,-91.92073347986855
"Other",33.46634290184217,-90.90144200258972
"Other",34.83700605068325,-83.92838039283203
"Other",34.83688295223528,-83.92848098610283
"Other",34.83688295223528,-83.92848098610283
"Other",34.83704193878295,-83.92821208453827
"Other",34.83720241891158,-83.92840936142998
"White Oak",37.52829980574318,-84.93083576679689
"Other",40.307103381529735,-105.64270592304472
"White Oak",37.52820479687073,-84.93055941544932
"White Oak",37.52842729449042,-84.93059118286234
"White Oak",37.571031334844946,-84.21436811805164
"White Oak",37.52101232766874,-84.23606836244858
"White Oak",37.57100388411206,-84.2144118715862
"White Oak",37.57070284805965,-84.21414189048504
"White Oak",37.52134211364903,-84.23616919674373
"White Oak",37.57059040482861,-84.2142371927241
"Other",35.826082960735846,-82.10774892017442
"Other",35.766432476263276,-82.26405045956584
"Other",35.82393000805349,-82.10858355485047
"Other",35.82376314330457,-82.10592191674012
"Other",35.82393000805349,-82.10858355485047
"Other",35.82619054246305,-82.10774313666123
"Other",35.82408718768118,-82.10433362990814
"Hemlock",35.766031025010875,-82.19389543876255
"Other",37.83158011161494,-84.32275051195977
"Other",35.765728522125414,-82.19406525612081
"Hemlock",35.765728522125414,-82.19406525612081
"American Chestnut",44.335355498818636,-69.99971532762312
"American Chestnut",44.388894299086544,-69.97251181869765
"American Chestnut",44.38919504177234,-69.97374865232965
"American Elm",43.13647703271651,-70.9376089275544
"American Chestnut",33.326444537409884,-85.89982744314325
"American Chestnut",40.35446260128203,-74.99295825145673
"American Chestnut",40.3543388424817,-74.99275121844839
"American Chestnut",40.35441897347602,-74.99283604330849
"American Chestnut",40.35377298019859,-74.99158521189818
"American Chestnut",43.19965725467235,-76.28937699530395
"Other",38.034534989891604,-84.50338058181526
"Other",38.03396929524656,-84.48912112050176
"Other",37.4948811158887,-84.22288890935873
"Ash",38.079542540980576,-84.4913174305898
"Ash",38.07949518322766,-84.4915008266312
"Hemlock",36.84093345425729,-84.34609014548765
"Hemlock",36.842234283719996,-84.34479145341025
"Other",36.83881660461131,-84.34570449412273
"American Elm",36.84294884096537,-84.34373784818159
"Hemlock",36.838914589059385,-84.34583357543157
"Other",37.49563712164526,-84.21999405146038
"Other",33.49206503483792,-85.81055690542404
"White Oak",36.839591763016614,-84.34598847300218
"Other",37.495707194355774,-84.22000218190645
"White Oak",33.49202467597415,-85.81057299867813
"Other",37.49109165746485,-84.23769738532997
"Other",35.94789506405215,-83.9404322673417
"Other",35.94699610493699,-83.9399332926459
"Other",35.9469284629784,-83.93994603313872
"Other",35.947969453442795,-83.94058850601682
"American Chestnut",35.647467705454346,-82.28339421570513
"American Chestnut",44.389394908253465,-69.97391310526987
"American Chestnut",35.656938334028844,-82.28592504754874
"Other",38.03149613089676,-84.50511806652369
"Other",38.03148816808875,-84.50502058498981
"Other",37.98884959429315,-84.41882226624006
"American Chestnut",35.54927743974658,-83.09405668646384
"American Elm",35.87128765418741,-84.09617892474317
"Other",35.951937501977156,-83.86278856865617
"Other",35.951437201254706,-83.86485090357704
"Other",35.95152726955829,-83.86473179755693
"Other",35.95629671219707,-83.86699825269034
"White Oak",35.95627003921236,-83.86714163440675
"Other",35.95628701259304,-83.86706375476987
"Other",35.95629519809834,-83.86702861728786
"Other",32.765415008210354,-117.16886364865783
"Ash",37.90290864188029,-84.36202213176001
"Ash",37.90495696946783,-84.36279888272692
"White Oak",37.90153375830306,-84.36164896943082
"Ash",37.90495508353962,-84.36307397678901
"Ash",37.90481493811859,-84.36306509197165
"Ash",37.90286684499488,-84.35949744131904
"Ash",37.90286684499488,-84.35949744131904
"Ash",37.90488795330347,-84.36321716268772
"Ash",37.90488795330347,-84.36321716268772
"Ash",37.90481746,-84.36303246
"Ash",37.90292180892106,-84.35947453968312
